sigOut,sigIn,sigPot
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,-0.005
1.328,1.000,0.000
1.328,1.000,0.000
1.333,1.000,0.000
1.333,1.000,-0.005
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,-0.005
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.338,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,-0.005
1.333,1.000,0.000
1.333,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,-0.005
1.328,1.000,0.000
1.333,1.000,0.000
1.328,1.000,0.000
1.333,1.000,0.000
1.333,1.000,-0.005
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.328,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,0.000
1.333,1.000,-0.005
1.333,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,-0.005
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.328,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
1.323,1.000,0.000
