time,snimac1_1,snimac2_1,spir_1,vent_1
1142.4,6.220703125,5.4736328125,2,2
1142.5,6.2939453125,5.44921875,2,2
1142.6,6.2890625,5.4052734375,2,2
1142.7,6.2109375,5.478515625,2,2
1142.8,6.220703125,5.46875,2,2
1142.9,6.25,5.4638671875,2,2
1143,6.2255859375,5.498046875,2,2
1143.1,6.2841796875,5.48828125,2,2
1143.2,6.2255859375,5.5078125,2,2
1143.3,6.23046875,5.498046875,2,2
1143.4,6.23046875,5.46875,2,2
1143.5,6.2646484375,5.4296875,2,2
1143.6,6.26953125,5.5029296875,2,2
1143.7,6.26953125,5.4931640625,2,2
1143.8,6.2451171875,5.4443359375,2,2
1143.9,6.2158203125,5.458984375,2,2
1144,6.2109375,5.4248046875,2,2
1144.1,6.2548828125,5.3857421875,2,2
1144.2,6.2841796875,5.4296875,2,2
1144.3,6.240234375,5.44921875,2,2
1144.4,6.240234375,5.46875,2,2
1144.5,6.2109375,5.4296875,2,2
1144.6,6.2353515625,5.41015625,2,2
1144.7,6.259765625,5.5029296875,2,2
1144.8,6.2939453125,5.4931640625,2,2
1144.9,6.259765625,5.4833984375,2,2
1145,6.240234375,5.4931640625,2,2
1145.1,6.240234375,5.478515625,2,2
1145.2,6.2353515625,5.458984375,2,2
1145.3,6.2939453125,5.478515625,2,2
1145.4,6.2353515625,5.439453125,2,2
1145.5,6.2548828125,5.4638671875,2,2
1145.6,6.2353515625,5.5078125,2,2
1145.7,6.240234375,5.46875,2,2
1145.8,6.279296875,5.4736328125,2,2
1145.9,6.2353515625,5.478515625,2,2
1146,6.26953125,5.3857421875,2,2
1146.1,6.2646484375,5.4833984375,2,2
1146.2,6.240234375,5.4443359375,2,2
1146.3,6.259765625,5.4296875,2,2
1146.4,6.259765625,5.498046875,2,2
1146.5,6.25,5.4736328125,2,2
1146.6,6.2451171875,5.4248046875,2,2
1146.7,6.2255859375,5.4296875,2,2
1146.8,6.25,5.458984375,2,2
1146.9,6.26953125,5.4931640625,2,2
1147,6.2890625,5.48828125,2,2
1147.1,6.25,5.4931640625,2,2
1147.2,6.2353515625,5.4296875,2,2
1147.3,6.2548828125,5.4248046875,2,2
1147.4,6.2841796875,5.4931640625,2,2
1147.5,6.2548828125,5.517578125,2,2
1147.6,6.2451171875,5.4052734375,2,2
1147.7,6.23046875,5.439453125,2,2
1147.8,6.23046875,5.4248046875,2,2
1147.9,6.23046875,5.46875,2,2
1148,6.2548828125,5.4833984375,2,2
1148.1,6.279296875,5.46875,2,2
1148.2,6.240234375,5.4833984375,2,2
1148.3,6.2646484375,5.4443359375,2,2
1148.4,6.2451171875,5.4638671875,2,2
1148.5,6.279296875,5.5126953125,2,2
1148.6,6.259765625,5.48828125,2,2
1148.7,6.240234375,5.44921875,2,2
1148.8,6.240234375,5.498046875,2,2
1148.9,6.25,5.46875,2,2
1149,6.25,5.4443359375,2,2
1149.1,6.25,5.498046875,2,2
1149.2,6.2939453125,5.478515625,2,2
1149.3,6.23046875,5.46875,2,2
1149.4,6.25,5.4443359375,2,2
1149.5,6.240234375,5.439453125,2,2
1149.6,6.2939453125,5.4736328125,2,2
1149.7,6.240234375,5.4736328125,2,2
1149.8,6.1865234375,5.44921875,2,2
1149.9,6.220703125,5.46875,2,2
1150,6.259765625,5.4931640625,2,2
1150.1,6.2158203125,5.48828125,2,2
1150.2,6.2548828125,5.5126953125,2,2
1150.3,6.279296875,5.5224609375,2,2
1150.4,6.240234375,5.4541015625,2,2
1150.5,6.26953125,5.4541015625,2,2
1150.6,6.2451171875,5.4541015625,2,2
1150.7,6.2744140625,5.4638671875,2,2
1150.8,6.2744140625,5.478515625,2,2
1150.9,6.2353515625,5.5078125,2,2
1151,6.240234375,5.5322265625,2,2
1151.1,6.23046875,5.5029296875,2,2
1151.2,6.2451171875,5.48828125,2,2
1151.3,6.2548828125,5.498046875,2,2
1151.4,6.2646484375,5.5078125,2,2
1151.5,6.240234375,5.48828125,2,2
1151.6,6.240234375,5.4736328125,2,2
1151.7,6.240234375,5.478515625,2,2
1151.8,6.25,5.5078125,2,2
1151.9,6.26953125,5.537109375,2,2
1152,6.23046875,5.5078125,2,2
1152.1,6.2548828125,5.478515625,2,2
1152.2,6.2646484375,5.4931640625,2,2
1152.3,6.240234375,5.5126953125,2,2
1152.4,6.259765625,5.4931640625,2,2
1152.5,6.259765625,5.52734375,2,2
1152.6,6.2255859375,5.4638671875,2,2
1152.7,6.259765625,5.48828125,2,2
1152.8,6.2451171875,5.517578125,2,2
1152.9,6.279296875,5.52734375,2,2
1153,6.26953125,5.4931640625,2,2
1153.1,6.2158203125,5.498046875,2,2
1153.2,6.240234375,5.458984375,2,2
1153.3,6.2353515625,5.46875,2,2
1153.4,6.23046875,5.46875,2,2
1153.5,6.259765625,5.439453125,2,2
1153.6,6.2939453125,5.48828125,2,2
1153.7,6.2451171875,5.478515625,2,2
1153.8,6.2451171875,5.4638671875,2,2
1153.9,6.2548828125,5.439453125,2,2
1154,6.2744140625,5.5029296875,2,2
1154.1,6.2646484375,5.46875,2,2
1154.2,6.2646484375,5.4443359375,2,2
1154.3,6.2451171875,5.498046875,2,2
1154.4,6.2646484375,5.4638671875,2,2
1154.5,6.240234375,5.439453125,2,2
1154.6,6.2841796875,5.4248046875,2,2
